FLY,VIAL,TIME,CENSUS,TREATMENT,POPULATION,GROUP,CONTINENT
1,1,3,1,T,EU1,2,EUROPE
2,1,3,1,T,EU1,2,EUROPE
3,1,9,1,T,EU1,2,EUROPE
4,1,9,1,T,EU1,2,EUROPE
5,1,9,1,T,EU1,2,EUROPE
6,1,12,1,T,EU1,2,EUROPE
7,1,12,1,T,EU1,2,EUROPE
8,1,12,1,T,EU1,2,EUROPE
9,1,12,1,T,EU1,2,EUROPE
10,1,12,1,T,EU1,2,EUROPE
11,1,12,1,T,EU1,2,EUROPE
12,1,12,1,T,EU1,2,EUROPE
13,1,12,1,T,EU1,2,EUROPE
14,1,12,1,T,EU1,2,EUROPE
15,2,12,0,T,AS2,2,ASIA
16,2,12,0,T,AS2,2,ASIA
17,2,12,0,T,AS2,2,ASIA
18,2,12,0,T,AS2,2,ASIA
19,2,12,0,T,AS2,2,ASIA
20,2,12,0,T,AS2,2,ASIA
21,2,12,0,T,AS2,2,ASIA
22,2,12,0,T,AS2,2,ASIA
23,2,12,0,T,AS2,2,ASIA
24,2,12,0,T,AS2,2,ASIA
25,2,12,0,T,AS2,2,ASIA
26,2,12,0,T,AS2,2,ASIA
27,2,12,0,T,AS2,2,ASIA
28,2,12,0,T,AS2,2,ASIA
29,2,12,0,T,AS2,2,ASIA
30,3,6,1,T,EU1,1,EUROPE
31,3,6,1,T,EU1,1,EUROPE
32,3,6,1,T,EU1,1,EUROPE
33,3,6,1,T,EU1,1,EUROPE
34,3,6,1,T,EU1,1,EUROPE
35,3,9,0,T,EU1,1,EUROPE
36,3,9,0,T,EU1,1,EUROPE
37,3,9,0,T,EU1,1,EUROPE
38,3,9,0,T,EU1,1,EUROPE
39,3,9,0,T,EU1,1,EUROPE
40,3,9,0,T,EU1,1,EUROPE
41,3,9,0,T,EU1,1,EUROPE
42,3,9,0,T,EU1,1,EUROPE
43,3,9,0,T,EU1,1,EUROPE
44,3,9,0,T,EU1,1,EUROPE
45,4,3,1,T,AM2,1,AMERICA
46,4,3,1,T,AM2,1,AMERICA
47,4,3,1,T,AM2,1,AMERICA
48,4,6,1,T,AM2,1,AMERICA
49,4,6,1,T,AM2,1,AMERICA
50,4,6,1,T,AM2,1,AMERICA
51,4,9,1,T,AM2,1,AMERICA
52,4,9,1,T,AM2,1,AMERICA
53,4,9,1,T,AM2,1,AMERICA
54,4,9,1,T,AM2,1,AMERICA
55,4,12,1,T,AM2,1,AMERICA
56,4,12,1,T,AM2,1,AMERICA
57,4,12,1,T,AM2,1,AMERICA
58,4,15,0,T,AM2,1,AMERICA
59,4,15,0,T,AM2,1,AMERICA
60,5,3,1,T,AF1,1,AFRICA
61,5,6,1,T,AF1,1,AFRICA
62,5,6,1,T,AF1,1,AFRICA
63,5,6,1,T,AF1,1,AFRICA
64,5,9,1,T,AF1,1,AFRICA
65,5,9,1,T,AF1,1,AFRICA
66,5,9,1,T,AF1,1,AFRICA
67,5,9,1,T,AF1,1,AFRICA
68,5,9,1,T,AF1,1,AFRICA
69,5,9,1,T,AF1,1,AFRICA
70,5,12,1,T,AF1,1,AFRICA
71,5,12,1,T,AF1,1,AFRICA
72,5,15,0,T,AF1,1,AFRICA
73,5,15,0,T,AF1,1,AFRICA
74,5,15,0,T,AF1,1,AFRICA
75,6,6,1,T,EU1,1,EUROPE
76,6,9,1,T,EU1,1,EUROPE
77,6,9,1,T,EU1,1,EUROPE
78,6,9,1,T,EU1,1,EUROPE
79,6,9,1,T,EU1,1,EUROPE
80,6,9,1,T,EU1,1,EUROPE
81,6,9,1,T,EU1,1,EUROPE
